StartDate,EndDate,Duration (in seconds),IPAddress,LocationLatitude,LocationLongitude,Progress,Q_TerminateFlag,Q_RelevantIDFraudScore,Q_RecaptchaScore,Q1.2,Q2.8_7,Q4.1,Q4.14,Q5.6,Q7.1,Q7.11,LatLongLocation,F_LatLongLocation,F_LongDuplicateTextResponse,num_attempts_successful,F_MultipleSuccessfulAttempts,F_RIDFraudScoreHigh,F_VeryShortDuration,F_IncompleteResponse,F_TwoSuccessfulAttempts,FF_QuickBurstResponse_count,F_QuickBurstResponse,F_SuspiciousCharacter,F_InstructedMatrix,F_InviRecaptcha,F_RIDFraudScoreLow,FG_HighPotentialFraud,FG_IPAddress,FG_Incomplete,FG_LowPotentialFraud,FG_LowQuality,FG_QualtricsSecurity,ActiveFlags,ActiveFlagGroups,FLAG,FLAG_RULE,MANUAL_FLAG,MANUAL_COMMENT
5/30/2024 22:26,5/30/2024 22:52,1595,8.8.8.8,37.751,-97.822,100,,0,1.0,11,2.0,-99,-99.0,1.0,27.0,-99,United States of America,False,False,3,True,False,False,False,False,0,False,False,False,False,False,1,0,0,0,0,0,F_MultipleSuccessfulAttempts,FG_HighPotentialFraud,FRAUD,Rule 2.1,,
5/30/2024 22:40,5/30/2024 22:57,1008,8.8.8.2,37.751,-97.822,100,,0,1.0,16,4.0,Tesla,-99.0,2.0,32.0,-99,United States of America,False,False,3,True,False,False,False,False,0,False,False,True,False,False,1,0,0,0,1,0,F_MultipleSuccessfulAttempts; F_InstructedMatrix,FG_HighPotentialFraud; FG_LowQuality,FRAUD,Rule 2.1,,
5/30/2024 22:57,5/30/2024 22:58,71,140.82.113.73,37.7823,-122.3911,10,,0,0.8999999761581421,46,,,,,,,United States of America,False,False,0,False,False,True,True,False,1,True,False,False,False,False,1,0,1,1,0,0,F_VeryShortDuration; F_IncompleteResponse; F_QuickBurstResponse,FG_HighPotentialFraud; FG_Incomplete; FG_LowPotentialFraud,INCOMPLETE,Rule 1,,
5/30/2024 22:57,5/30/2024 22:58,72,180.241.36.12,33.9707,-88.8079,10,,0,0.8999999761581421,26,,,,,42.0,,United States of America,False,False,1,False,False,True,True,False,1,True,False,False,False,False,1,0,1,1,0,0,F_VeryShortDuration; F_IncompleteResponse; F_QuickBurstResponse,FG_HighPotentialFraud; FG_Incomplete; FG_LowPotentialFraud,INCOMPLETE,Rule 1,,
5/30/2024 22:52,5/30/2024 23:05,784,208.67.222.222,37.774929,-122.419416,100,,30,0.8999999761581421,18,2.0,10 years out,-99.0,2.0,34.0,-99,United States of America,False,False,1,False,False,False,False,False,0,False,False,False,False,True,0,0,0,0,0,1,F_RIDFraudScoreLow,FG_QualtricsSecurity,TBD,Rule 4,,
5/30/2024 22:56,5/30/2024 23:11,929,4.2.2.2,39.739236,-104.990251,100,,0,0.8999999761581421,5,4.0,I think of A.I. managing time slots and creating work-plans.,-99.0,2.0,21.0,It has potential... I just worry that it will be used to harm rather than help.,United States of America,False,False,1,False,False,False,False,False,0,False,False,True,False,False,0,0,0,0,1,0,F_InstructedMatrix,FG_LowQuality,TBD,Rule 4,,
5/30/2024 22:53,5/30/2024 23:16,1364,140.82.113.3,37.7823,-122.3911,61,,0,0.8999999761581421,26,2.0,Teslas,,,,,United States of America,False,False,0,False,False,False,True,False,0,False,False,False,False,False,0,0,1,0,0,0,F_IncompleteResponse,FG_Incomplete,INCOMPLETE,Rule 1,,
5/30/2024 22:51,5/30/2024 23:21,1786,64.233.160.0,37.4056,-122.0775,100,,30,1.0,37,2.0,"robot,Artificial intelligence",-99.0,2.0,53.0,-99,United States of America,False,False,1,False,False,False,False,False,0,False,False,False,False,True,0,0,0,0,0,1,F_RIDFraudScoreLow,FG_QualtricsSecurity,TBD,Rule 4,,
5/30/2024 23:05,5/30/2024 23:22,1038,17.172.224.47,37.332,-122.0312,100,,0,0.8999999761581421,20,2.0,It will be helpful in making the daily job routine task such easier compared to manual work everyday,-99.0,2.0,36.0,No,United States of America,False,False,1,False,False,False,False,False,0,False,False,False,False,False,0,0,0,0,0,0,,,VALID,Rule 5,,
5/30/2024 23:03,5/30/2024 23:28,1522,13.35.15.30,47.6062,-122.3321,100,,30,0.8999999761581421,26,1.0,Makes my day a whole lot easier ,-99.0,2.0,42.0,-99,United States of America,False,False,2,False,False,False,False,True,0,False,False,True,False,True,0,1,0,0,1,1,F_TwoSuccessfulAttempts; F_InstructedMatrix; F_RIDFraudScoreLow,FG_IPAddress; FG_LowQuality; FG_QualtricsSecurity,FRAUD,Rule 2.4,,
5/30/2024 23:20,5/30/2024 23:32,761,23.216.10.36,42.3601,-71.0589,100,,30,0.699999988,6,2.0,Tesla,-99.0,2.0,22.0,-99,United States of America,False,False,1,False,False,False,False,False,0,False,False,False,False,True,0,0,0,0,0,1,F_RIDFraudScoreLow,FG_QualtricsSecurity,TBD,Rule 4,,
5/30/2024 23:31,5/30/2024 23:43,740,52.95.110.1,47.6062,-122.3321,100,,0,1.0,19,2.0,Increased productivity,-99.0,2.0,35.0,-99,United States of America,False,False,1,False,False,False,False,False,0,False,False,False,False,False,0,0,0,0,0,0,,,VALID,Rule 5,,
5/30/2024 23:37,5/30/2024 23:48,644,91.198.174.22,52.3667,4.8945,100,,0,0.8999999761581421,12,2.0,tesla,-99.0,2.0,28.0,-99,Netherlands,True,False,1,False,False,False,False,False,0,False,False,False,False,False,1,0,0,0,0,0,F_LatLongLocation,FG_HighPotentialFraud,FRAUD,Rule 2.1,,
